longitude,latitude,value
120.84,21.939999999999998,28.1
120.72,21.97,28.6
120.75,21.97,28.6
120.78,21.97,27.8
120.81,21.97,26.5
120.84,21.97,28.7
120.72,22.0,28.6
120.75,22.0,28.6
120.78,22.0,28.1
120.81,22.0,28.5
120.84,22.0,28.6
120.72,22.029999999999998,28.5
120.75,22.029999999999998,28.6
120.78,22.029999999999998,26.7
120.81,22.029999999999998,27.5
120.84,22.029999999999998,28.2
120.87,22.029999999999998,26.5
121.56,22.029999999999998,27.0
120.72,22.06,28.7
120.75,22.06,28.6
120.78,22.06,28.1
120.81,22.06,28.1
120.84,22.06,26.9
120.87,22.06,27.4
121.53,22.06,26.9
120.72,22.09,28.7
120.75,22.09,28.7
120.78,22.09,27.7
120.81,22.09,26.4
120.84,22.09,26.9
120.87,22.09,26.7
120.72,22.119999999999997,28.4
120.75,22.119999999999997,27.9
120.78,22.119999999999997,28.2
120.81,22.119999999999997,25.9
120.84,22.119999999999997,26.7
120.87,22.119999999999997,28.4
120.72,22.15,26.8
120.75,22.15,27.2
120.78,22.15,27.9
120.81,22.15,26.8
120.84,22.15,25.7
120.87,22.15,28.6
120.72,22.18,26.1
120.75,22.18,26.7
120.78,22.18,25.7
120.81,22.18,26.0
120.84,22.18,26.5
120.87,22.18,28.7
120.72,22.209999999999997,28.6
120.75,22.209999999999997,27.1
120.78,22.209999999999997,27.8
120.81,22.209999999999997,26.9
120.84,22.209999999999997,26.2
120.87,22.209999999999997,27.1
120.69,22.24,28.3
120.72,22.24,26.2
120.75,22.24,25.6
120.78,22.24,26.8
120.81,22.24,25.9
120.84,22.24,26.2
120.87,22.24,27.6
120.66,22.27,28.0
120.69,22.27,28.3
120.72,22.27,28.2
120.75,22.27,26.9
120.78,22.27,26.0
120.81,22.27,24.4
120.84,22.27,28.0
120.87,22.27,28.1
120.66,22.3,27.7
120.69,22.3,25.7
120.72,22.3,24.8
120.75,22.3,24.4
120.78,22.3,22.2
120.81,22.3,27.3
120.84,22.3,28.3
120.87,22.3,28.8
120.36,22.33,27.6
120.63,22.33,28.9
120.66,22.33,27.0
120.69,22.33,25.4
120.72,22.33,22.3
120.75,22.33,24.3
120.78,22.33,24.1
120.81,22.33,25.8
120.84,22.33,27.3
120.87,22.33,25.2
120.63,22.36,28.5
120.66,22.36,26.8
120.69,22.36,22.1
120.72,22.36,22.1
120.75,22.36,19.3
120.78,22.36,24.4
120.81,22.36,26.4
120.84,22.36,27.8
120.87,22.36,28.6
120.9,22.36,28.8
120.57,22.39,27.5
120.6,22.39,27.8
120.63,22.39,27.9
120.66,22.39,26.9
120.69,22.39,26.5
120.72,22.39,24.8
120.75,22.39,18.0
